% Model:              Анатомическая модель_RPG4.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 11 2025, 13:48
% Table:              Table 1 - Point Evaluation 1
% ro_skin (Ω*m)          ro_scull (Ω*m)           ro_brain (Ω*m)           Electric potential (V), Point: 1
1                        40                       1                        9.485315057910707
1.5                      40                       1                        9.699596838643245
2                        40                       1                        9.481578319834398
2.5                      40                       1                        9.148972460912525
3                        40                       1                        8.808756747978741
3.5                      40                       1                        8.496193659656619
4                        40                       1                        8.220893178417654
4.5                      40                       1                        7.9836580466026135
5                        40                       1                        7.779865144984441
1                        45                       1                        10.126296092201407
1.5                      45                       1                        10.458197514141538
2                        45                       1                        10.265929271746948
2.5                      45                       1                        9.91299587295407
3                        45                       1                        9.53044152179033
3.5                      45                       1                        9.167074847036076
4                        45                       1                        8.839434182068246
4.5                      45                       1                        8.55010663541843
5                        45                       1                        8.29774948712111
1                        50                       1                        10.743513713219805
1.5                      50                       1                        11.21188511998497
2                        50                       1                        11.064202801625527
2.5                      50                       1                        10.705748451265542
3                        50                       1                        10.292189780600296
3.5                      50                       1                        9.885312766074335
4                        50                       1                        9.509280471711804
4.5                      50                       1                        9.171124260907916
5                        50                       1                        8.870110865336997
1                        55                       1                        11.33558772842374
1.5                      55                       1                        11.954589164441188
2                        55                       1                        11.867622091032061
2.5                      55                       1                        11.51807021679403
3                        55                       1                        11.084515935196748
3.5                      55                       1                        10.642576818653055
4                        55                       1                        10.223971904931801
4.5                      55                       1                        9.840476422578988
5                        55                       1                        9.495742261227207
1                        60                       1                        11.901377839229824
1.5                      60                       1                        12.68301792706091
2                        60                       1                        12.670698500012826
2.5                      60                       1                        12.34267944403792
3                        60                       1                        11.900087371041792
3.5                      60                       1                        11.431101754439752
4                        60                       1                        10.975988021509721
4.5                      60                       1                        10.551354779478004
5                        60                       1                        10.16414953174555
1                        65                       1                        12.44228497377027
1.5                      65                       1                        13.393858372849877
2                        65                       1                        13.46862535940545
2.5                      65                       1                        13.174614326851646
3                        65                       1                        12.732331225278188
3.5                      65                       1                        12.244363853778992
4                        65                       1                        11.759047906063287
4.5                      65                       1                        11.297976444644235
5                        65                       1                        10.871327430095647
1                        70                       1                        12.958016256406722
1.5                      70                       1                        14.08600396780303
2                        70                       1                        14.258694572006775
2.5                      70                       1                        14.007873981659131
3                        70                       1                        13.57574955215712
