% Model:              Моделирование_мозга_сфера - 3.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 24 2025, 15:59
% Table:              Table 5 - MN
% rho_brain (Ω*m)        rho_scull (Ω*m)          rho_skin (Ω*m)           V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1     V/1[A] (Ω), Point: 1
1                        40                       1                        66.3976868369261         37.24986196566163        64.51722356792982
1                        40                       1.5                      77.53166727214526        47.2360119198849         92.82294747736022
1                        40                       2                        84.57941717611742        54.54444448572897        119.1778638511805
1                        40                       2.5                      89.2560370889619         60.03693342435966        143.86766530700464
1                        40                       3                        92.42193322441983        64.23298101673254        167.10537368105534
1                        40                       3.5                      94.5682723218537         67.47042568437622        189.05815243079218
1                        40                       4                        95.99755412159743        69.9812961163874         209.86173977002554
1                        40                       4.5                      96.90924837164937        71.9304292012579         229.62912708050033
1                        40                       5                        97.43935556123182        73.43905070935718        248.45586715136477
1                        45                       1                        70.18358548761161        38.684185389270425       65.13863885464517
1                        45                       1.5                      82.74427385926057        49.553291849160075       94.03097172049223
1                        45                       2                        90.91716287332281        57.690822374460154       121.08423417481464
1                        45                       2.5                      96.49917117083595        63.939424233302546       146.55580065143062
1                        45                       3                        100.40506822362076       68.81610714813118        170.638407152975
1                        45                       3.5                      103.16148939004626       72.66226213423386        193.48423698173696
1                        45                       4                        105.09773462989884       75.7155581474374         215.21760435525846
1                        45                       4.5                      106.43217712800231       78.14692642718029        235.94224130811557
1                        45                       5                        107.31603434745736       80.08347447444616        255.74625431570223
1                        50                       1                        73.6622837706028         39.944371812853674       65.65708259976805
1                        50                       1.5                      87.58988227683349        51.61536469993341        95.04421373735296
1                        50                       2                        96.85892605540053        60.519730255769474       122.69074517777457
1                        50                       2.5                      103.33662114645225       67.47981571712694        148.83061567294152
1                        50                       3                        107.9844691226767        73.006599405434          173.63992817708555
1                        50                       3.5                      111.36168724739917       77.44273191889418        197.25823255515127
1                        50                       4                        113.82125763775858       81.02865203704866        219.79965794880815
1                        50                       4.5                      115.59921619625648       83.9402361399317         241.36021173734048
1                        50                       5                        116.85956894814038       86.30889125970904        262.02188922966366
1                        55                       1                        76.8759021186585         41.06259652036113        66.0970121283633
1                        55                       1.5                      92.11399215001975        53.46531498424005        95.90795680176015
1                        55                       2                        102.44894066042062       63.08050475968615        124.0656133802133
1                        55                       2.5                      109.80811810068765       70.70951640002042        150.7844290784841
1                        55                       3                        115.19464641054113       76.8556799303885         176.22641371627077
1                        55                       3.5                      119.19746295957395       81.86044010825526        200.5201321438579
1                        55                       4                        122.19104491295336       85.96586045259576        223.77138045981332
1                        55                       4.5                      124.42639285315705       89.3509164086719         246.06939353155684
1                        55                       5                        126.08094915202798       92.15012603518082        267.4903535742867
1                        60                       1                        79.85844285808905        42.063109706147756       66.47556713917771
1                        60                       1.5                      96.35365169960767        55.136568844248444       96.65412112739858
1                        60                       2                        107.72339534216093       65.41267598691903        125.25743054554681
1                        60                       2.5                      115.94825657771257       73.67082713594911        152.4833985748686
1                        60                       3                        122.06756416906339       80.40627898932487        178.4818203209744
1                        60                       3.5                      126.69689609474682       85.95753064413574        203.37213115298465
1                        60                       4                        130.22974142222841       90.56721613663746        227.25267653799222
1                        60                       4.5                      132.93257464342938       94.41638505852907        250.20661006611056
1                        60                       5                        134.99230917364088       97.6413245674986         272.3054838000354
1                        65                       1                        82.63782882747981        42.9647966883698         66.80517542776008
1                        65                       1.5                      100.34012667557667       56.655775103634205       97.30600946997745
1                        65                       2                        112.71468117709168       67.5476257422847         126.30181537703893
1                        65                       2.5                      121.78716057622708       76.39818777137896        153.9762077166331
1                        65                       3                        128.63111364608216       83.69378650909972        180.46850420148326
1                        65                       3.5                      133.88472804476862       89.7699017814231         205.89009902378115
1                        65                       4                        137.9592290400721        94.86702572558198        230.33295798590567
